Algorithm,Log Source,Log,Drift Types,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
CVDriftSuggested,dataset_1000cases_10min_ABD.xes,dataset_1000cases_10min_ABD.xes,duration,"[370, 750]",[],8.218,00:00:08,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_10%.xes,dataset_1000cases_10min_ABD_noisy_10%.xes,duration,"[304, 722]",[],7.704,00:00:07,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_20%.xes,dataset_1000cases_10min_ABD_noisy_20%.xes,duration,"[300, 722]",[],10.053,00:00:10,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_5%.xes,dataset_1000cases_10min_ABD_noisy_5%.xes,duration,"[303, 722]",[],18.186,00:00:18,{}
CVDriftSuggested,dataset_1000cases_20min_ABD.xes,dataset_1000cases_20min_ABD.xes,duration,"[370, 750]",[],8.011,00:00:08,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_10%.xes,dataset_1000cases_20min_ABD_noisy_10%.xes,duration,"[302, 725]",[],9.331,00:00:09,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_20%.xes,dataset_1000cases_20min_ABD_noisy_20%.xes,duration,"[304, 725]",[],10.018,00:00:10,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_5%.xes,dataset_1000cases_20min_ABD_noisy_5%.xes,duration,"[304, 725]",[],7.697,00:00:07,{}
CVDriftSuggested,dataset_1000cases_30min_ABD.xes,dataset_1000cases_30min_ABD.xes,duration,"[370, 750]",[],7.021,00:00:07,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_10%.xes,dataset_1000cases_30min_ABD_noisy_10%.xes,duration,"[303, 722]",[],6.749,00:00:06,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_20%.xes,dataset_1000cases_30min_ABD_noisy_20%.xes,duration,"[300, 723]",[],7.575,00:00:07,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_5%.xes,dataset_1000cases_30min_ABD_noisy_5%.xes,duration,"[305, 723]",[],7.032,00:00:07,{}
CVDriftSuggested,dataset_1000cases_40min_ABD.xes,dataset_1000cases_40min_ABD.xes,duration,"[370, 750]",[],6.286,00:00:06,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_10%.xes,dataset_1000cases_40min_ABD_noisy_10%.xes,duration,"[302, 724]",[],8.856,00:00:08,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_20%.xes,dataset_1000cases_40min_ABD_noisy_20%.xes,duration,"[303, 724]",[],8.774,00:00:08,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_5%.xes,dataset_1000cases_40min_ABD_noisy_5%.xes,duration,"[302, 718]",[],6.279,00:00:06,{}
CVDriftSuggested,dataset_1000cases_50min_ABD.xes,dataset_1000cases_50min_ABD.xes,duration,"[370, 750]",[],6.964,00:00:06,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_10%.xes,dataset_1000cases_50min_ABD_noisy_10%.xes,duration,"[301, 726]",[],8.895,00:00:08,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_20%.xes,dataset_1000cases_50min_ABD_noisy_20%.xes,duration,"[305, 731]",[],7.498,00:00:07,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_5%.xes,dataset_1000cases_50min_ABD_noisy_5%.xes,duration,"[301, 725]",[],7.202,00:00:07,{}
CVDriftSuggested,dataset_1000cases_60min_ABD.xes,dataset_1000cases_60min_ABD.xes,duration,"[370, 750]",[],12.282,00:00:12,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_10%.xes,dataset_1000cases_60min_ABD_noisy_10%.xes,duration,"[300, 726]",[],12.086,00:00:12,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_20%.xes,dataset_1000cases_60min_ABD_noisy_20%.xes,duration,"[300, 724]",[],10.78,00:00:10,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_5%.xes,dataset_1000cases_60min_ABD_noisy_5%.xes,duration,"[300, 725]",[],9.423,00:00:09,{}
CVDriftSuggested,dataset_100cases_10min_ABD.xes,dataset_100cases_10min_ABD.xes,duration,"[35, 75]",[],0.508,00:00:00,{}
CVDriftSuggested,dataset_100cases_10min_ABD_noisy_10%.xes,dataset_100cases_10min_ABD_noisy_10%.xes,duration,"[35, 74]",[],0.521,00:00:00,{}
CVDriftSuggested,dataset_100cases_10min_ABD_noisy_20%.xes,dataset_100cases_10min_ABD_noisy_20%.xes,duration,[35],[],0.572,00:00:00,{}
CVDriftSuggested,dataset_100cases_10min_ABD_noisy_5%.xes,dataset_100cases_10min_ABD_noisy_5%.xes,duration,"[35, 76]",[],0.537,00:00:00,{}
CVDriftSuggested,dataset_100cases_20min_ABD.xes,dataset_100cases_20min_ABD.xes,duration,"[45, 77]",[],0.58,00:00:00,{}
CVDriftSuggested,dataset_100cases_20min_ABD_noisy_10%.xes,dataset_100cases_20min_ABD_noisy_10%.xes,duration,[75],[],0.528,00:00:00,{}
CVDriftSuggested,dataset_100cases_20min_ABD_noisy_20%.xes,dataset_100cases_20min_ABD_noisy_20%.xes,duration,"[77, 90]",[],1.326,00:00:01,{}
CVDriftSuggested,dataset_100cases_20min_ABD_noisy_5%.xes,dataset_100cases_20min_ABD_noisy_5%.xes,duration,"[75, 90]",[],0.772,00:00:00,{}
CVDriftSuggested,dataset_100cases_30min_ABD.xes,dataset_100cases_30min_ABD.xes,duration,[35],[],0.755,00:00:00,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_10%.xes,dataset_100cases_30min_ABD_noisy_10%.xes,duration,[30],[],1.104,00:00:01,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_20%.xes,dataset_100cases_30min_ABD_noisy_20%.xes,duration,[31],[],1.285,00:00:01,{}
CVDriftSuggested,dataset_100cases_30min_ABD_noisy_5%.xes,dataset_100cases_30min_ABD_noisy_5%.xes,duration,"[31, 75]",[],1.708,00:00:01,{}
CVDriftSuggested,dataset_100cases_40min_ABD.xes,dataset_100cases_40min_ABD.xes,duration,[35],[],1.051,00:00:01,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_10%.xes,dataset_100cases_40min_ABD_noisy_10%.xes,duration,[31],[],0.879,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_20%.xes,dataset_100cases_40min_ABD_noisy_20%.xes,duration,[32],[],0.834,00:00:00,{}
CVDriftSuggested,dataset_100cases_40min_ABD_noisy_5%.xes,dataset_100cases_40min_ABD_noisy_5%.xes,duration,[30],[],0.616,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD.xes,dataset_100cases_50min_ABD.xes,duration,"[37, 75]",[],0.666,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_10%.xes,dataset_100cases_50min_ABD_noisy_10%.xes,duration,"[30, 73]",[],0.649,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_20%.xes,dataset_100cases_50min_ABD_noisy_20%.xes,duration,"[35, 72]",[],0.614,00:00:00,{}
CVDriftSuggested,dataset_100cases_50min_ABD_noisy_5%.xes,dataset_100cases_50min_ABD_noisy_5%.xes,duration,"[35, 82]",[],0.574,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD.xes,dataset_100cases_60min_ABD.xes,duration,[35],[],0.58,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_10%.xes,dataset_100cases_60min_ABD_noisy_10%.xes,duration,"[35, 72]",[],0.881,00:00:00,{}
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_20%.xes,dataset_100cases_60min_ABD_noisy_20%.xes,duration,"[30, 71]",[],1.043,00:00:01,{}
CVDriftSuggested,dataset_100cases_60min_ABD_noisy_5%.xes,dataset_100cases_60min_ABD_noisy_5%.xes,duration,"[35, 72]",[],0.8,00:00:00,{}
CVDriftSuggested,dataset_3000cases10min_ABD.xes,dataset_3000cases10min_ABD.xes,duration,"[1110, 2250]",[],51.849,00:00:51,{}
CVDriftSuggested,dataset_3000cases20min_ABD.xes,dataset_3000cases20min_ABD.xes,duration,"[1110, 2250]",[],65.726,00:01:05,{}
CVDriftSuggested,dataset_3000cases20min_ABD_noisy_10%.xes,dataset_3000cases20min_ABD_noisy_10%.xes,duration,"[125, 2225]",[],58.305,00:00:58,{}
CVDriftSuggested,dataset_3000cases20min_ABD_noisy_20%.xes,dataset_3000cases20min_ABD_noisy_20%.xes,duration,"[125, 2226]",[],41.352,00:00:41,{}
CVDriftSuggested,dataset_3000cases30min_ABD.xes,dataset_3000cases30min_ABD.xes,duration,"[1110, 2250]",[],17.116,00:00:17,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_10%.xes,dataset_3000cases30min_ABD_noisy_10%.xes,duration,"[126, 2220]",[],23.475,00:00:23,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_20%.xes,dataset_3000cases30min_ABD_noisy_20%.xes,duration,"[125, 2227]",[],81.785,00:01:21,{}
CVDriftSuggested,dataset_3000cases30min_ABD_noisy_5%.xes,dataset_3000cases30min_ABD_noisy_5%.xes,duration,"[125, 2220]",[],38.536,00:00:38,{}
CVDriftSuggested,dataset_3000cases40min_ABD.xes,dataset_3000cases40min_ABD.xes,duration,"[1110, 2250]",[],38.905,00:00:38,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_10%.xes,dataset_3000cases40min_ABD_noisy_10%.xes,duration,"[126, 2222]",[],34.673,00:00:34,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_20%.xes,dataset_3000cases40min_ABD_noisy_20%.xes,duration,"[126, 2224]",[],42.071,00:00:42,{}
CVDriftSuggested,dataset_3000cases40min_ABD_noisy_5%.xes,dataset_3000cases40min_ABD_noisy_5%.xes,duration,"[126, 2220]",[],38.981,00:00:38,{}
CVDriftSuggested,dataset_3000cases50min_ABD.xes,dataset_3000cases50min_ABD.xes,duration,"[1110, 2250]",[],57.009,00:00:57,{}
CVDriftSuggested,dataset_3000cases50min_ABD_noisy_10%.xes,dataset_3000cases50min_ABD_noisy_10%.xes,duration,"[125, 2223]",[],79.255,00:01:19,{}
