Algorithm,Log Source,Log,Drift Types,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings,Dataset,n_cases
CVDrift,bose_log.xes,bose_log.xes,routing,"[1175, 3650, 4400, 4780]","[1199, 2399, 3599, 4799]",1006.625,00:16:46,{},bose,6000.0
CVDrift,sudden_trace_noise0_1000_IOR.xes,sudden_trace_noise0_1000_IOR.xes,routing,[445],[500],30.225,00:00:30,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_IRO.xes,sudden_trace_noise0_1000_IRO.xes,routing,[450],[500],51.445,00:00:51,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_OIR.xes,sudden_trace_noise0_1000_OIR.xes,routing,[457],[500],28.74,00:00:28,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_RIO.xes,sudden_trace_noise0_1000_RIO.xes,routing,[],[500],25.352,00:00:25,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_ROI.xes,sudden_trace_noise0_1000_ROI.xes,routing,[462],[500],24.526,00:00:24,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_cb.xes,sudden_trace_noise0_1000_cb.xes,routing,[442],[500],30.761,00:00:30,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_cd.xes,sudden_trace_noise0_1000_cd.xes,routing,[305],[500],30.093,00:00:30,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_cf.xes,sudden_trace_noise0_1000_cf.xes,routing,[444],[500],30.897,00:00:30,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_cp.xes,sudden_trace_noise0_1000_cp.xes,routing,[480],[500],34.193,00:00:34,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_lp.xes,sudden_trace_noise0_1000_lp.xes,routing,[],[500],24.81,00:00:24,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_pl.xes,sudden_trace_noise0_1000_pl.xes,routing,[],[500],20.145,00:00:20,{},ceravolo,1000.0
CVDrift,sudden_trace_noise0_1000_pm.xes,sudden_trace_noise0_1000_pm.xes,routing,[446],[500],26.372,00:00:26,{},ceravolo,1000.0
