Algorithm,Log Source,Log,Drift Types,Detected Changepoints,Actual Changepoints for Log,Duration (Seconds),Duration (hh:mm:ss),Parameter Settings
CVDriftSuggested,dataset_1000cases_10min_ABD.xes,dataset_1000cases_10min_ABD.xes,duration,"[370, 750]",[],2.984,00:00:02,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_10%.xes,dataset_1000cases_10min_ABD_noisy_10%.xes,duration,"[304, 722]",[],3.577,00:00:03,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_20%.xes,dataset_1000cases_10min_ABD_noisy_20%.xes,duration,"[300, 722]",[],4.451,00:00:04,{}
CVDriftSuggested,dataset_1000cases_10min_ABD_noisy_5%.xes,dataset_1000cases_10min_ABD_noisy_5%.xes,duration,"[303, 722]",[],3.319,00:00:03,{}
CVDriftSuggested,dataset_1000cases_20min_ABD.xes,dataset_1000cases_20min_ABD.xes,duration,"[370, 750]",[],2.969,00:00:02,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_10%.xes,dataset_1000cases_20min_ABD_noisy_10%.xes,duration,"[302, 725]",[],3.628,00:00:03,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_20%.xes,dataset_1000cases_20min_ABD_noisy_20%.xes,duration,"[304, 725]",[],4.346,00:00:04,{}
CVDriftSuggested,dataset_1000cases_20min_ABD_noisy_5%.xes,dataset_1000cases_20min_ABD_noisy_5%.xes,duration,"[304, 725]",[],3.228,00:00:03,{}
CVDriftSuggested,dataset_1000cases_30min_ABD.xes,dataset_1000cases_30min_ABD.xes,duration,"[370, 750]",[],3.252,00:00:03,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_10%.xes,dataset_1000cases_30min_ABD_noisy_10%.xes,duration,"[303, 722]",[],3.593,00:00:03,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_20%.xes,dataset_1000cases_30min_ABD_noisy_20%.xes,duration,"[300, 723]",[],4.16,00:00:04,{}
CVDriftSuggested,dataset_1000cases_30min_ABD_noisy_5%.xes,dataset_1000cases_30min_ABD_noisy_5%.xes,duration,"[305, 723]",[],3.201,00:00:03,{}
CVDriftSuggested,dataset_1000cases_40min_ABD.xes,dataset_1000cases_40min_ABD.xes,duration,"[370, 750]",[],3.273,00:00:03,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_10%.xes,dataset_1000cases_40min_ABD_noisy_10%.xes,duration,"[302, 724]",[],4.035,00:00:04,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_20%.xes,dataset_1000cases_40min_ABD_noisy_20%.xes,duration,"[303, 724]",[],5.092,00:00:05,{}
CVDriftSuggested,dataset_1000cases_40min_ABD_noisy_5%.xes,dataset_1000cases_40min_ABD_noisy_5%.xes,duration,"[302, 718]",[],3.29,00:00:03,{}
CVDriftSuggested,dataset_1000cases_50min_ABD.xes,dataset_1000cases_50min_ABD.xes,duration,"[370, 750]",[],3.815,00:00:03,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_10%.xes,dataset_1000cases_50min_ABD_noisy_10%.xes,duration,"[301, 726]",[],3.502,00:00:03,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_20%.xes,dataset_1000cases_50min_ABD_noisy_20%.xes,duration,"[305, 731]",[],4.231,00:00:04,{}
CVDriftSuggested,dataset_1000cases_50min_ABD_noisy_5%.xes,dataset_1000cases_50min_ABD_noisy_5%.xes,duration,"[301, 725]",[],3.145,00:00:03,{}
CVDriftSuggested,dataset_1000cases_60min_ABD.xes,dataset_1000cases_60min_ABD.xes,duration,"[370, 750]",[],2.86,00:00:02,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_10%.xes,dataset_1000cases_60min_ABD_noisy_10%.xes,duration,"[300, 726]",[],3.472,00:00:03,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_20%.xes,dataset_1000cases_60min_ABD_noisy_20%.xes,duration,"[300, 724]",[],4.267,00:00:04,{}
CVDriftSuggested,dataset_1000cases_60min_ABD_noisy_5%.xes,dataset_1000cases_60min_ABD_noisy_5%.xes,duration,"[300, 725]",[],3.095,00:00:03,{}
CVDriftSuggested,dataset_100cases_10min_ABD.xes,dataset_100cases_10min_ABD.xes,duration,"[35, 75]",[],0.234,00:00:00,{}
CVDriftSuggested,dataset_100cases_10min_ABD_noisy_10%.xes,dataset_100cases_10min_ABD_noisy_10%.xes,duration,"[35, 74]",[],0.227,00:00:00,{}
