,Ostovar,Bose,Ceravolo,Relative Frequency
cm,3,0,0,3.3333333333333335
cre,3,0,0,3.3333333333333335
cf,3,0,5,8.88888888888889
fr,3,0,0,3.3333333333333335
lp,3,0,5,8.88888888888889
pm,3,0,5,8.88888888888889
pre,3,0,0,3.3333333333333335
pl,3,0,5,8.88888888888889
sm,3,0,0,3.3333333333333335
sre,3,0,0,3.3333333333333335
cb,3,0,5,8.88888888888889
rp,3,0,5,8.88888888888889
sw,3,0,5,8.88888888888889
cd,0,0,5,5.555555555555555
cp,0,0,5,5.555555555555555
re,0,0,5,5.555555555555555
,0,0,0,0.0
Mixed (Bose),0,1,0,1.1111111111111112
