Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds),pen_scale
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400,40,[1516.9802143446002],"[999, 1999]",,,0:00:04,4,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400,80,[1516.9802143446002],"[999, 1999]",,,0:00:04,4,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400,120,[1516.9802143446002],"[999, 1999]",,,0:00:04,4,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400,160,[1516.9802143446002],"[999, 1999]",,,0:00:04,4,
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400,200,[1516.9802143446002],"[999, 1999]",,,0:00:04,4,
ProDrift,Ceravolo,sudden_trace_noise20_1000_pl,150,2,,,,,,,,,,[],[499],,,0:00:06,6,
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600,60,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1,62.32212885,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600,120,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1,62.32212885,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600,180,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1,62.32212885,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600,240,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1,62.32212885,0:00:07,7,
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600,300,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1,62.32212885,0:00:07,7,
Bose J,Ceravolo,sudden_trace_noise10_1000_cb,100,2,,,,,,,,,,[456],[499],1,43,0:00:22,22,
