Algorithm,Log Source,Log,Window Size,SW Step Size,Min Adaptive Window,Max Adaptive Window,ADWIN Step Size,P-Value,Complete-Window Size,Detection-Window Size,Stable Period,MRID,Epsilon,Detected Changepoints,Actual Changepoints for Log,F1-Score,Average Lag,Duration,Duration (Seconds)
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400.0,40.0,[1516.9802143446002],"[999, 1999]",,,00:00:04,4.0
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400.0,80.0,[1516.9802143446002],"[999, 1999]",,,00:00:04,4.0
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400.0,120.0,[1516.9802143446002],"[999, 1999]",,,00:00:04,4.0
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400.0,160.0,[1516.9802143446002],"[999, 1999]",,,00:00:04,4.0
Zheng DBSCAN,Ostovar,Atomic_Frequency_output_Frequency_5,,,,,,,,,,400.0,200.0,[1516.9802143446002],"[999, 1999]",,,00:00:04,4.0
ProDrift,Ceravolo,sudden_trace_noise20_1000_pl,150.0,2.0,,,,,,,,,,[],[499],,,00:00:06,6.0
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600.0,60.0,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1.0,62.3221288515407,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600.0,120.0,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1.0,62.3221288515407,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600.0,180.0,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1.0,62.3221288515407,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600.0,240.0,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1.0,62.3221288515407,00:00:07,7.0
Zheng DBSCAN,Ostovar,Composite_OIR_output_OIR,,,,,,,,,,600.0,300.0,"[943.2380952380952, 1930.1176470588234]","[999, 1999]",1.0,62.3221288515407,00:00:07,7.0
Bose J,Ceravolo,sudden_trace_noise10_1000_cb,100.0,2.0,,,,,,,,,,[456],[499],1.0,43.0,00:00:22,22.0
Bose WC,Ceravolo,sudden_trace_noise10_1000_cb,100.0,2.0,,,,,,,,,,[],[499],,,00:00:18,18.0
Bose J,Ceravolo,sudden_trace_noise15_1000_pm,200.0,2.0,,,,,,,,,,[414],[499],1.0,85.0,00:00:21,21.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_pm,200.0,2.0,,,,,,,,,,[374],[499],1.0,125.0,00:00:19,19.0
Bose J,Ceravolo,sudden_trace_noise20_1000_sw,100.0,2.0,,,,,,,,,,[],[499],,,00:00:22,22.0
Bose WC,Ceravolo,sudden_trace_noise20_1000_sw,100.0,2.0,,,,,,,,,,[],[499],,,00:00:21,21.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,800.0,80.0,[1481.9715639810427],"[999, 1999]",,,00:00:10,10.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,800.0,160.0,[1481.9715639810427],"[999, 1999]",,,00:00:10,10.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,800.0,240.0,[1481.9715639810427],"[999, 1999]",,,00:00:10,10.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,800.0,320.0,[1481.9715639810427],"[999, 1999]",,,00:00:10,10.0
Zheng DBSCAN,Ostovar,Composite_ROI_output_ROI_2,,,,,,,,,,800.0,400.0,[1481.9715639810427],"[999, 1999]",,,00:00:10,10.0
Bose J,Ceravolo,sudden_trace_noise15_1000_re,600.0,2.0,,,,,,,,,,[],[499],,,00:00:06,6.0
Bose WC,Ceravolo,sudden_trace_noise15_1000_re,600.0,2.0,,,,,,,,,,[],[499],,,00:00:03,3.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,,,,,,,,800.0,80.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,,,,,,,,800.0,160.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,,,,,,,,800.0,240.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,,,,,,,,800.0,320.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise10_1000_pl,,,,,,,,,,800.0,400.0,[],[499],,,00:00:00,0.0
Earth Mover's Distance,Ostovar,Atomic_Frequency_output_Frequency_5,500.0,2.0,,,,,,,,,,"[940, 1968]","[999, 1999]",1.0,45.0,00:27:03,1623.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise0_1000_re,400.0,2.0,,,,,,,,,,[],[499],,,00:00:00,0.0
Bose J,Ceravolo,sudden_trace_noise20_1000_rp,400.0,2.0,,,,,,,,,,[],[499],,,00:00:16,16.0
Bose WC,Ceravolo,sudden_trace_noise20_1000_rp,400.0,2.0,,,,,,,,,,[],[499],,,00:00:11,11.0
Earth Mover's Distance,Ceravolo,sudden_trace_noise10_1000_re,200.0,2.0,,,,,,,,,,[452],[499],1.0,47.0,00:00:01,1.0
Bose J,Ceravolo,sudden_trace_noise0_1000_cp,100.0,2.0,,,,,,,,,,[438],[499],1.0,61.0,00:00:24,24.0
Bose WC,Ceravolo,sudden_trace_noise0_1000_cp,100.0,2.0,,,,,,,,,,[404],[499],1.0,95.0,00:00:19,19.0
ProDrift,Ostovar,Composite_OIR_output_OIR_5,250.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:23,383.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,70.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,140.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,210.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,280.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ceravolo,sudden_trace_noise0_1000_pm,,,,,,,,,,700.0,350.0,[],[499],,,00:00:00,0.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,60.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,120.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,180.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,240.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
Zheng DBSCAN,Ostovar,Atomic_ConditionalRemoval_output_ConditionalRemoval_5,,,,,,,,,,600.0,300.0,[1514.5327169274537],"[999, 1999]",,,00:00:08,8.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,50.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:03,363.0
Bose J,Ostovar,Nested_ROI_output_ROI_2,500.0,2.0,,,,,,,,,,"[958, 1936]","[999, 1999]",1.0,52.0,00:26:09,1569.0
Bose WC,Ostovar,Nested_ROI_output_ROI_2,500.0,2.0,,,,,,,,,,[2040],"[999, 1999]",0.6666666666666666,41.0,00:27:29,1649.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,150.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:13,373.0
ProDrift,Ceravolo,sudden_trace_noise10_1000_cp,100.0,2.0,,,,,,,,,,[460],[499],1.0,39.0,00:00:08,8.0
Earth Mover's Distance,Ostovar,Atomic_ConditionalToSequence_output_ConditionalToSequence,200.0,2.0,,,,,,,,,,"[952, 1962, 2316, 2564]","[999, 1999]",0.6666666666666666,42.0,00:17:29,1049.0
ProDrift,Ostovar,Atomic_Substitute_output_Substitute_5,200.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:06:33,393.0
Earth Mover's Distance,Ostovar,Composite_RIO_output_RIO_2,400.0,2.0,,,,,,,,,,"[950, 1944]","[999, 1999]",1.0,52.0,00:38:31,2311.0
ProDrift,Ceravolo,sudden_trace_noise0_1000_OIR,100.0,2.0,,,,,,,,,,[444],[499],1.0,55.0,00:00:39,39.0
ProDrift,Ostovar,Atomic_Loop_output_Loop,250.0,2.0,,,,,,,,,,[],"[999, 1999]",,,00:11:47,707.0
Bose J,Ostovar,Atomic_SerialMove_output_SerialMove_2,600.0,2.0,,,,,,,,,,"[1458, 2230]","[999, 1999]",,,00:27:45,1665.0
